"","article_id","Year","Issue","Title","Author","Gender"
"63",63,"1954","5","О некоторых особенностях развития феодальных отношений в Южной Италии","Абрамсон","ж"
"64",64,"1954","5","В.Г. Белинский и А.И. Герцен о некоторых проблемах западноевропейского средневековья","Асиновская","ж"
"65",65,"1954","5","Английская революция и судьбы крестьянского землевладения","Барг","м"
"66",66,"1954","5","Мировоззрение Арнольда Брешианского","Бортник","м"
"67",67,"1954","5","Франконский город в крестьянской войне 1525 г","Ермолаев","м"
"68",68,"1954","5","Об исторических условиях возникновения так называемого готического письма","Луизова","ж"
"69",69,"1954","5","Структура общины в Южной и Юго-западной Германии","Неусыхин","м"
"70",70,"1954","5","Феодальная реакция в Австрии во второй половине XVI в","Самохина","ж"
"71",71,"1954","5","О классовой сущности политических взглядов Гаррингтона","Сапрыкин","м"
"72",72,"1954","5","Классики марксизма-ленинизма о феодальной собственности","Сказкин","м"
"73",73,"1954","5","Колониальная политика Венеции в XIII в.","Соколов","м"
"74",74,"1954","5","Классовая борьба в Милане в XI в и зарождение миланской коммуны","Стоклицкая-Терешкович","ж"
"75",75,"1954","5","Английская политика по отношению к революционным Нидерландам","Чистозвонов","м"
"76",76,"1955","6","Огораживания общинных земель в Англии в XIII веке","Авдеева","ж"
"77",77,"1955","6","Исторические взгляды С.В. Ешевского","Архангельский","м"
"78",78,"1955","6","Письмо читателя","Баткин","м"
"79",79,"1955","6","К вопросу об ученых разногласиях русских медиевистов 40-50-х годов XIX века","Бороздин","м"
"80",80,"1955","6","Социально-экономические отношения и классовая борьба в Лионе","Воронова","ж"
"81",81,"1955","6","Эволюция идейно-методологических взглядов Д.М. Петрушевского","Данилов","м"
"82",82,"1955","6","Антифеодальные выступления шведского крестьянства в XVII веке","Кан","м"
"83",83,"1955","6","Положение и классовая борьба зависимого крестьянства","Котельникова","ж"
"84",84,"1955","6","Исторические взгляды Себастьяна Франка","Левен","м"
"85",85,"1955","6","Движение кроканов (1592-1598 гг)","Лесохина","ж"
"86",86,"1955","6","К вопросу о первом этапе процесса возникновения феодально-зависимого крестьянства","Неусыхин","м"
"87",87,"1955","6","Английская агрессия в Ирландии и освободительная борьба ирландского народа","Осинова","ж"
"88",88,"1955","6","Крестьянская община в Венгрии в XI - XIII веках","Павлушкова","ж"
"89",89,"1955","6","Из истории аграрных отношений в западных воеводствах великого княжества","Похилевич","м"
"90",90,"1955","6","К итогам дискуссии по проблеме генезиса раннекапиталистических отношений","Редколлегия","—"
"91",91,"1955","6","О прогрессивности капиталистических отношений в Италии XIV - XV веков","Рутенбург","м"
"92",92,"1955","6","Венгерская золотая булла 1222 года","Семенов","м"
"93",93,"1955","6","Свободная община и процесс закрепощения крестьян в Кенте","Соколова","ж"
"94",94,"1955","6","Исследовать явления в их исторической самобытности и связях","Чистозвонов","м"
"95",95,"1955","7","Сельские коммуны Северо-Восточной Италии и подчинение их городу в XIII-XIV вв. ","Брагина","ж"
"96",96,"1955","7","Из истории французской дипломатии начала XVII века","Бушмакин","м"
"97",97,"1955","7","Великий гуманист Рабле ","Гордеев","м"
"98",98,"1955","7","Из истории имущественного расслоения общинников","Гуревич","м"
"99",99,"1955","7","Папство и организация первого крестового похода","Заборов","м"
"100",100,"1955","7","О хозяйстве толедской деревни","Карасс","ж"
"101",101,"1955","7","К вопросу об усилении эксплуатации крестьянства","Керов","м"
"102",102,"1955","7","Некоторые вопросы балтийско-нидерландской торговли хлебом","Лесников","м"
"103",103,"1955","7","О промышленном развитии Англии накануне буржуазной революции XVII века","Мещерякова","ж"
"104",104,"1955","7","Социальный состав деревни юго-западной Германии","Мильская","ж"
"105",105,"1955","7","Зарождение капитализма в книгопечатном производстве во Франции в первой половине XVI в.","Молдавская","ж"
"106",106,"1955","7","К вопросу экономической политики французского абсолютизма первой половины XVI века ","Покровская","ж"
"107",107,"1955","7","Социальные группировки и социальная борьба в Венеции","Соколов","м"
"108",108,"1955","7","Княжество Кокнезе в борьбе с немецкими захватчиками в Восточной Прибалтике в начале XIII века ","Стародубец","?"
"109",109,"1955","7","Значение исследований Кареева","Фролова","ж"
"110",110,"1955","7","Крестьянские движения Англии","Хилтон","м"
"111",111,"1956","8","О некоторых факторах разложения светского вотчинного землевладения в Англии","Барг","м"
"112",112,"1956","8","Большая семья в Северо-Западной Норвегии в ранее средневековье","Гуревич","м"
"113",113,"1956","8","Обзор доклада Э. Ком, А. Маронжу, Г. Штекля","Гутнова","ж"
"114",114,"1956","8","Социальный облик представителей графств в английском Парламенте","Гутнова","ж"
"115",115,"1956","8","Немецкая деревня второй половины VIII-начала IX в","Данилов","м"
"116",116,"1956","8","История крестовых походов в Докладах X Международного конгресса","Заборов","м"
"117",117,"1956","8","Петр Рамус и его борьба со Схоластикой","Коган-Бернштейн","ж"
"118",118,"1956","8","К вопросу о дифференциации английского крестьянства","Лавровский","м"
"119",119,"1956","8","Ремесленные гильдии в Англии в ранний период их истории","Левицкий","м"
"120",120,"1956","8","Вопросы образования древнерусского государства","Литаврин","м"
"121",121,"1956","8","Борьба за власть в парижском муниципалитете после Дня баррикад","Лозинский","м"
"122",122,"1956","8","Уставы как источник по изучению положения крестьян Германии","Майер","м"
"123",123,"1956","8","К вопросу об эволюции форм семьи и земельного аллода у аллеманов в VI-IX вв","Неусыхин","м"
"124",124,"1956","8","Отклики французского общественного мнения на Английскую буржуазную революцию","Поршнев","м"
"125",125,"1956","8","Научная и общественная деятельность Е.А. Косминского","Редколлегия","—"
"126",126,"1956","8","Экономический строй Флоренции во второй половине XV и в XVI веке","Ролова","ж"
"127",127,"1956","8","Английская колонизация Ольстера при Якове II","Сапрыкин","м"
"128",128,"1956","8","Изменение системы земельных мер как результат перемен в аграрном строе","Серовайский","м"
"129",129,"1956","8","Современная медиевистика в обзорных докладах на X международном конгрессе","Сидорова","ж"
"130",130,"1956","8","X Международный конгресс историков в Риме","Сказкин","м"
"131",131,"1956","8","Вопросы историографии на X международном конгрессе историков","Смирин","м"
"132",132,"1956","8","Народная реформация Томаса Мюнцера и великая крестьянская война","Смирин","м"
"133",133,"1956","8","Заметки о трудах Е.А. Косминского по Новой истории","Татаринова","ж"
"134",134,"1956","8","Раздел земель между остготами и римлянами в Италии в конце V века","Удальцова","ж"
"135",135,"1956","8","Проблемы средневековой идеологии и экономики","Чистозвонов","м"
"136",136,"1957","10","Социально - экономическое положение зависимого крестьянства среднерейнской Германии","Бессмертный","м"
"137",137,"1957","10","Еретические секты Италии первой половины XIII в","Бортник","м"
"138",138,"1957","10","Некоторые данные о ремесленном производстве в Кафе","Гольдшмидт","ж"
"139",139,"1957","10","Промышленность северных городов Нидерландов в XVI в.","Громыко","ж"
"140",140,"1957","10","Сорок лет советской медиевистике и её очередные задачи","Гутнова","ж"
"141",141,"1957","10","Некоторые данные о ремесленном производстве в Кафе","Конокотин","м"
"142",142,"1957","10","О развитии феодальных отношений в готской Испании V-VII вв.","Корсунский","м"
"143",143,"1957","10","Либеллярии Северной и Средней Италии в VIII-X вв.","Котельникова","ж"
"144",144,"1957","10","Развитие книготорговли во Франции в первой половине XVI в.","Молдавская","ж"
"145",145,"1957","10","Из экономической и социальной истории Аугсбурга","Эпштейн","м"
"146",146,"1957","9","Фригольд Центральной Англии в XII-XIII вв.","Барг","м"
"147",147,"1957","9","Английское крестьянство в X - начале XI в","Гуревич","м"
"148",148,"1957","9","Экономические и социальные предпосылки централизации английского феодального государства","Гутнова","ж"
"149",149,"1957","9","К критике допшианской концепции раннесредневековой вотчины","Данилов","м"
"150",150,"1957","9","Социально-экономическая характеристика шведской деревни","Кан","м"
"151",151,"1957","9","Эволюция раннефеодального областного и местного государственного устройства","Колесницкий","м"
"152",152,"1957","9","Борьба Гаррингтона и его группы за республику","Сапрыкин","м"
"153",153,"1957","9","О публикации докторских и кандидатских диссертаций по истории средних веков","Сидорова","ж"
"154",154,"1958","11","Вилланы ""старинного домена"" (Юридическая теория и реальная действительность)","Барг","м"
"155",155,"1958","11","Утопия всемирной монархии у Данте (К вопросу о социально - политических взглядах Данте)","Баткин","м"
"156",156,"1958","11","Из истории итальянского крестьянства XV-XVI вв. (По материалам архива Ленинградского отделения Института истории АН СССР)","Бернадская","ж"
"157",157,"1958","11","Господствующая форма феодальной ренты в крупных вотчинах Лотарингии XIII в. ","Бессмертный","м"
"158",158,"1958","11","Норвежская община в раннее средневековье ","Гуревич","м"
"159",159,"1958","11","Регистры ремёсел и торговли города Парижа (Окончание) ","Киселева, Люблинская","—"
"160",160,"1958","11","Заметка о книге Алексея Ставровского ""Рассуждение о значении средних веков в отношении к новейшему времени""","Рыськин","м"
"161",161,"1958","11","К вопросу о методологии истории Возрождения и гуманизма","Сказкин","м"
"162",162,"1958","12","Общинное землевладение в Северо - Восточной Италии XIII-XIV вв. ","Брагина","ж"
"163",163,"1958","12","Документы по истории Франции середины XVI в.","Воронова, Гурари, Люблинская","—"
"164",164,"1958","12","Политика королевской власти по отношению к городам и городскому сословию в Англии XIII - начала XIV в. ","Гутнова","ж"
"165",165,"1958","12","Возникновение феодального землевладения и класса феодалов в Англии VII-X вв. ","Соколова","ж"
"166",166,"1958","12","Сеньория Стэн в XV-XVII вв. (К вопросу об аграрных отношениях в Северной Франции XV-XVII вв.)","Червонная","ж"
"167",167,"1958","12","Формы феодального землевладения в Шампани IX-X вв. ","Шевеленко","м"
"168",168,"1958","13","Из истории английского землевладения накануне буржуазной революции XVII в","Авдеева","ж"
"169",169,"1958","13","К вопросу о генезисе английского фригольда XIII в. (По материалам Средней Англии) ","Барг","м"
"170",170,"1958","13","Великая Крестьянская война в Германии в освещении М.Н. Петрова ","Вебер","м"
"171",171,"1958","13","Документы по истории Франции середины XVI в. (продолжение)","Воронова, Гурари, Люблинская","—"
"172",172,"1958","13","Из социальной истории городов Англии XIII в. ","Кириллова","ж"
"173",173,"1958","13","Основные проблемы истории свободного и зависимого крестьянства","Неусыхин","м"
"174",174,"1958","13","Изучение средневековой Испании в советской историографии","Пичугина","ж"
"175",175,"1958","13","Архангельский. Некролог","Редколлегия","—"
"176",176,"1958","13","Удальцов. Некролог","Редколлегия","—"
"177",177,"1959","14","Из истории сельских коммун Моденской провинции","Бернадская","ж"
"178",178,"1959","14","Византийская политика папства и начало крестовых походов","Заборов","м"
"179",179,"1959","14","Положение и условия труда рабочих - печатников Лиона и Парижа в первой половине XVI в. ","Молдавская","ж"
"180",180,"1959","14","Изменения аграрного строя на территории Бургундии в V в. ","Серовайский","м"
"181",181,"1959","14","Развитие цехового ремесла и торговли в городах Северо - Восточной Франции в XII-XIII вв.","Тимофеева","ж"
"182",182,"1959","14","Социально - политические взгляды Фабио Альбергати - итальянского утописта конца XVI - начала XVII в. ","Чиколини","ж"
"183",183,"1959","15","О развитии феодальных отношений в готской Испании (Формирование крупного землевладения) ","Корсунский","м"
"184",184,"1959","15","Кризис сукноделия в Англии накануне буржуазной революции XVII в. ","Мещерякова","ж"
"185",185,"1959","15","Косминский. Некролог","Редколлегия","—"
"186",186,"1959","15","Прекарий на землях Сен - Галленского аббатства в VIII-IX вв.","Романова","ж"
"187",187,"1959","15","Венецианские цехи в XIII и XIV вв.","Соколов","м"
"188",188,"1959","16","Гвельфы и гибеллины во Флоренции (Основные этапы и характер социальной борьбы в XII - середине XIII","Баткин","м"
"189",189,"1959","16","К вопросу о развитии внутренней торговли и экономических связей во Франции во второй половине XV в.","Горбачёва","ж"
"190",190,"1959","16","Основные этапы социально - экономической истории норвежского крестьянства в XIII - XVII вв.","Гуревич","м"
"191",191,"1959","16","Политика городов по отношению к сельским коммунам Северной и Средней Италии в XII в.","Котельникова","ж"
"192",192,"1959","16","Научная командировка в Париж","Сидорова","ж"
"193",193,"1959","16","К вопросу о характере классовой борьбы в городах Фландрии в XVI в.","Чистозвонов","м"
"194",194,"1960","17","Из неизданной переписки русских медиевистов 40 - 50-х годов XIX в.","Асиновская","ж"
"195",195,"1960","17","Хроника Дино Компаньи или притча Данте Алигьери?","Баткин","м"
"196",196,"1960","17","О некоторых изменениях в социально-экономическом положении лотарингского крестьянства","Бессмертный","м"
"197",197,"1960","17","Профессор Н.А. Осокин - первый казанский медиевист","Бушмакин","м"
"198",198,"1960","17","Русско - нидерландская торговля на Мурманском берегу в XVI в. ","Громыко","ж"
"199",199,"1960","17","Т. Роджерс и возникновение историко - экономического направления в английской медиевистике второй половины XIX","Гутнова","ж"
"200",200,"1960","17","Аграрная история западноевропейского средневековья в трудах советских медиевистов","Данилов","м"
"201",201,"1960","17","Работа сектора истории средних веков Института истории АН СССР в 1959 г.","Жаботинская","ж"
"202",202,"1960","17","Об одной южноитальянской грамоте XI в.","Каждан","м"
"203",203,"1960","17","""Восемь стансов об осени"" Ду Фу ","Конрад","м"
"204",204,"1960","17","О некоторых характерных чертах английского феодализма","Косминский","м"
"205",205,"1960","17","О формах общинной организации североитальянского крестьянства в IX-XII вв.","Котельникова","ж"
"206",206,"1960","17","Крупное поместье в Англии в XVI по XVIII в. ","Лавровский","м"
"207",207,"1960","17","Развитие рабовладельческой формации и возникновение элементов феодализма в Западной Римской империи","Мейман","м"
"208",208,"1960","17","Новые данные по источниковедению Салической правды ","Неусыхин","м"
"209",209,"1960","17","Научная и педагогическая деятельность С.Д. Сказкина ","Редколлегия","—"
"210",210,"1960","17","Землевладение в пуританских колониях Новой Англии в XVII в. ","Самойло","м"
"211",211,"1960","17","Поземельная собственность в графстве Лимерик в середине XVII в.","Сапрыкин","м"
"212",212,"1960","17","Некоторые вопросы истории Франции и советская медиевистика ","Сидорова","ж"
"213",213,"1960","17","Четвёртый том ""Всемирной истории""","Смирин","м"
"214",214,"1960","17","Социальная утопия Антонио Франческо Дони","Чиколини","ж"
"215",215,"1960","17","Аграрные отношения в Южной Голландии, Амстерланте и Хоойланте по материалам описей 1494-1514 гг. ","Чистозвонов","м"
"216",216,"1960","18","Реакционные течения в современной американской медиевистике","Вайнштейн","м"
"217",217,"1960","18","Основные проблемы истории средневековой Норвегии в норвежской историографии","Гуревич","м"
"218",218,"1960","18","Значение трудов В.И. Ленина для разработки проблем историографии средних веков","Гутнова","ж"
"219",219,"1960","18","Некоторые проблемы социальной истории средневековой Англии в современной англо-американской медиевистике ","Гутнова","ж"
"220",220,"1960","18","К вопросу о критике буржуазной историографии в произведениях В.И. Ленина ","Данилов","м"
"221",221,"1960","18","Современная немецкая буржуазная историография о феодальном государстве в Германии ","Колесницкий","м"
"222",222,"1960","18","О новой теории социальной структуры раннего средневековья в буржуазной медиевистике ФРГ ","Неусыхин, Данилов","—"
"223",223,"1960","18","Советская медиевистика и ее задачи в области историографии","Редколлегия","—"
"224",224,"1960","18","Ценные факты и нелепые выводы (о некоторых новых американских работах по истории колониального периода США) ","Самойло","м"
"225",225,"1960","18","В.И. Ленин о феодализме и генезисе капиталистических отношений в земледелии","Сапрыкин","м"
"226",226,"1960","18","В.И. Ленин и некоторые проблемы медиевистики ","Сказкин","м"
"227",227,"1961","19","Заметки о книгах","А.Ш.","—"
"228",228,"1961","19","Французские Генеральные штаты 16141615 гг и их значение","Альзон","м"
"229",229,"1961","19","Эволюция вотчинной структуры в Средней Англии между 1086 и 1279 гг","Барг","м"
"230",230,"1961","19","Социальный облик средневекового Рима По данным переписи римского населения ","Бортник","м"
"231",231,"1961","19","Ульрих фон Гуттен НК Диалоги Публицистика Письма Изд-во АН СССР М 1959","В.Е.","—"
"232",232,"1961","19","Гурари Люблинская Документы по истории Франции середины XVI в окончание","Воронова","ж"
"233",233,"1961","19","Фридрих Энгельс  исследователь истории древних ирландцев","Гольман","м"
"234",234,"1961","19","Крестовые походы в освещении западногерманского историка","Заборов","м"
"235",235,"1961","19","О развитии феодальных отношении в готской Испании Зарождение бенефициальной","Корсунский","м"
"236",236,"1961","19","Мемориал испанского экономиста Луиса Ортиса и зарождение идей протекционизм","Литаврина","ж"
"237",237,"1961","19","Источники по истории Нидерландов Фландрии и Голландии в Ленинградском отдел","Люблинская","ж"
"238",238,"1961","19","A Guron La réglamentation des métiers en Languedoc au Moyen âge GenèveParis","Ревякина","ж"
"239",239,"1961","19","Некоторые вопросы организации производства рукописной книги во Франции XIII","Романова","ж"
"240",240,"1961","19","Налоговые описи Колчестера как источник по истории английского средневеково","Сванидзе","ж"
"241",241,"1961","19","По страницам зарубежных журналов Обзор статей по истории средневековья","Соколова","ж"
"242",242,"1961","19","ЕWerner Die gesellschaftlichen Grundlagen der Kloster-reform im 11 Jh Berli","Чайковская","ж"
"243",243,"1961","19","Аграрные отношения в Северной Голландии по материалам описей 1494 и 1514 гг","Чистозвонов","м"
"244",244,"1961","19","Некоторые черты экономического развития словенских земель в XVI в","Чуркина","ж"
"245",245,"1961","19","Неопубликованное письмо Фридриха Энгельса к Женни Лонге","Энгельс","м"
"246",246,"1961","20","Флорентийские гранды и поправки 6 июля 1295 г. к «Установлениям правосудия»","Баткин","м"
"247",247,"1961","20","«Революция цен» и ее влияние на Венгрию во второй половине XVI в. ","Виттман","м"
"248",248,"1961","20","Свободное крестьянство и феодальное государство в Норвегии в X—XII вв. ","Гуревич","м"
"249",249,"1961","20","О значении слова «парламент» (parliamentum) в Англии XIII и начала XIV в.","Гутнова","ж"
"250",250,"1961","20","Из истории политической борьбы во Франции в начале XIV в (Трактаты легиста Дюбуа об уничтожении Ордена тамплиеров)","Денисова","ж"
"251",251,"1961","20","К вопросу о германском министериалитете X—XII вв. ","Колесницкий","м"
"252",252,"1961","20","Об одном раннем произведении утопического коммунизма в Германии ","Майер","м"
"253",253,"1961","20","Мемуар Исаака Разилли о французской колониальной экспансии (1626 г.). Предисловие Р. Мандру (Париж). ","Мандру","м"
"254",254,"1961","20","Вопрос о переходе от феодализма к капитализму в Центральной Европе (XVI — XVIII вв.)","Мацурек, Клима","—"
"255",255,"1961","20","К 70-летию академика Н.И. Конрада","Редколлегия","—"
"256",256,"1961","20","Социальные отношения в горной промышленности Фрейбергского района Саксонии в 40—80-х годах XV в. ","Смирин","м"
"257",257,"1961","20","Из истории ганзейской торговли (Ввоз в Новгород благородных металлов в XIV—XV вв.) ","Хорошкевич","ж"
"258",258,"1962","21","Юридическая теория XIII в. о происхождении и характере общинных прав в Англии","Авдеева","ж"
"259",259,"1962","21","Мызно-барщинное хозяйство в южной (латышской) части Лифляндии в XVI в. ","Дорошенко","м"
"260",260,"1962","21","Работа сектора истории средних веков в 1960-1961 гг.","Жаботинская","ж"
"261",261,"1962","21","Материалы по истории земельных отношений в Кастилии XII-XIII вв. Перевод с арабского","Карасс","ж"
"262",262,"1962","21","К истории народного движения и Мюльхаузене (Тюрингия) в 1523—1575 гг. ","Кёдиц","ж"
"263",263,"1962","21","Некоторые вопросы экономической политики королевской власти в Англии 1461—1485 гг.","Кузнецов","м"
"264",264,"1962","21","Крестьянский сейм в Иннсбруке (12 июня—21 июля 1525 г.","Мацек","м"
"265",265,"1962","21","Стачечное движение лионских и парижских типографских рабочих в 1530—1540 гг.  ","Молдавская","ж"
"266",266,"1962","21","Новые данные по источниковедению Салической правды. Очерк. 2. Опыт истолкования некоторых спорных текстов","Неусыхин","м"
"267",267,"1962","21","О положении крестьянства Леона и Кастилии XII—XIII вв. (по данным фуэрос) ","Пичугина","ж"
"268",268,"1962","21","Крестьяне-слуги в Великом княжестве Литовском в XVII—XVIII вв. ","Похилевич","м"
"269",269,"1962","21","Ирландская средневековая иллюминированная рукопись в собрании Ленинградской государственной публичной библиотеки","Привалова","ж"
"270",270,"1962","21","К истории свободного ремесла в городах Южной Франции XIII—XV вв. ","Ревуненкова","ж"
"271",271,"1962","21","Сидорова Некролог","Редколлегия","—"
"272",272,"1962","21","О задачах советских медиевистов в свете решений XXII съезда КПСС","Сидорова","ж"
"273",273,"1962","21","Ф.Энгельс о значении Крестьянской войны 1524—1525 гг. в истории Германии ","Смирин","м"
"274",274,"1962","22","R Lennard Rural England 1086-1135 A Study of Social and Agrarian Conditions","Барг","м"
"275",275,"1962","22","О некоторых теденциях в новейшей зарубежной историографии итальянского Возр","Брагина","ж"
"276",276,"1962","22","Научная жизнь кафедры истории средних веков исторического факультета МГУ в ","Володарский","м"
"277",277,"1962","22","Французские средневековые рукописные книги в собрании Государственной публи","Воронова","ж"
"278",278,"1962","22","Социальная борьба в Норвегии в последней четверти XII начале XIII в Биркебе","Гуревич","м"
"279",279,"1962","22","Реконкиста и колонизация в истории кастильского крестьянства","Карасс","ж"
"280",280,"1962","22","Раннее германское средневековье в свете археологии Römisch-germanische Komm","Кауфман","?"
"281",281,"1962","22","К истории народного движения в Мюльхаузене Тюрингия 1523-1575 окончание","Кёдиц","ж"
