"","article_id","Year","Issue","Title","Author","Gender"
"63",63,"1953","4","Народные еретические движения во Франции в XI и XII веках","Сидорова","ж"
"64",64,"1953","4","Крестьянские движения в период Нидерландской революции","Чистозвонов","м"
"65",65,"1954","5","О некоторых особенностях развития феодальных отношений в Южной Италии","Абрамсон","ж"
"66",66,"1954","5","В.Г. Белинский и А.И. Герцен о некоторых проблемах западноевропейского средневековья","Асиновская","ж"
"67",67,"1954","5","Английская революция и судьбы крестьянского землевладения","Барг","м"
"68",68,"1954","5","Мировоззрение Арнольда Брешианского","Бортник","м"
"69",69,"1954","5","Франконский город в крестьянской войне 1525 г","Ермолаев","м"
"70",70,"1954","5","Рецензии","Коллектив авторов","—"
"71",71,"1954","5","Об исторических условиях возникновения так называемого готического письма","Луизова","ж"
"72",72,"1954","5","Структура общины в Южной и Юго-западной Германии","Неусыхин","м"
"73",73,"1954","5","Феодальная реакция в Австрии во второй половине XVI в","Самохина","ж"
"74",74,"1954","5","О классовой сущности политических взглядов Гаррингтона","Сапрыкин","м"
"75",75,"1954","5","Классики марксизма-ленинизма о феодальной собственности","Сказкин","м"
"76",76,"1954","5","Колониальная политика Венеции в XIII в.","Соколов","м"
"77",77,"1954","5","Классовая борьба в Милане в XI в и зарождение миланской коммуны","Стоклицкая-Терешкович","ж"
"78",78,"1954","5","Английская политика по отношению к революционным Нидерландам","Чистозвонов","м"
"79",79,"1955","6","Огораживания общинных земель в Англии в XIII веке","Авдеева","ж"
"80",80,"1955","6","Исторические взгляды С.В. Ешевского","Архангельский","м"
"81",81,"1955","6","Письмо читателя","Баткин","м"
"82",82,"1955","6","К вопросу об ученых разногласиях русских медиевистов 40-50-х годов XIX века","Бороздин","м"
"83",83,"1955","6","Социально-экономические отношения и классовая борьба в Лионе","Воронова","ж"
"84",84,"1955","6","Эволюция идейно-методологических взглядов Д.М. Петрушевского","Данилов","м"
"85",85,"1955","6","Антифеодальные выступления шведского крестьянства в XVII веке","Кан А.С.","м"
"86",86,"1955","6","Рецензии","Коллектив авторов","—"
"87",87,"1955","6","Положение и классовая борьба зависимого крестьянства","Котельникова","ж"
"88",88,"1955","6","Исторические взгляды Себастьяна Франка","Левен","м"
"89",89,"1955","6","Движение кроканов (1592-1598 гг)","Лесохина","ж"
"90",90,"1955","6","К вопросу о первом этапе процесса возникновения феодально-зависимого крестьянства","Неусыхин","м"
"91",91,"1955","6","Английская агрессия в Ирландии и освободительная борьба ирландского народа","Осинова","ж"
"92",92,"1955","6","Крестьянская община в Венгрии в XI - XIII веках","Павлушкова","ж"
"93",93,"1955","6","Из истории аграрных отношений в западных воеводствах великого княжества","Похилевич","м"
"94",94,"1955","6","К итогам дискуссии по проблеме генезиса раннекапиталистических отношений","Редколлегия","—"
"95",95,"1955","6","О прогрессивности капиталистических отношений в Италии XIV - XV веков","Рутенбург","м"
"96",96,"1955","6","Венгерская золотая булла 1222 года","Семенов","м"
"97",97,"1955","6","Свободная община и процесс закрепощения крестьян в Кенте","Соколова","ж"
"98",98,"1955","6","Исследовать явления в их исторической самобытности и связях","Чистозвонов","м"
"99",99,"1955","7","Сельские коммуны Северо-Восточной Италии и подчинение их городу в XIII-XIV вв. ","Брагина","ж"
"100",100,"1955","7","Из истории французской дипломатии начала XVII века","Бушмакин","м"
"101",101,"1955","7","Великий гуманист Рабле ","Гордеев","м"
"102",102,"1955","7","Из истории имущественного расслоения общинников","Гуревич","м"
"103",103,"1955","7","Папство и организация первого крестового похода","Заборов","м"
"104",104,"1955","7","О хозяйстве толедской деревни","Карасс М.Б.","ж"
"105",105,"1955","7","К вопросу об усилении эксплуатации крестьянства","Керов","м"
"106",106,"1955","7","Рецензии","Коллектив авторов","—"
"107",107,"1955","7","Некоторые вопросы балтийско-нидерландской торговли хлебом","Лесников","м"
"108",108,"1955","7","О промышленном развитии Англии накануне буржуазной революции XVII века","Мещерякова","ж"
"109",109,"1955","7","Социальный состав деревни юго-западной Германии","Мильская","ж"
"110",110,"1955","7","Зарождение капитализма в книгопечатном производстве во Франции в первой половине XVI в.","Молдавская","ж"
"111",111,"1955","7","К вопросу экономической политики французского абсолютизма первой половины XVI века ","Покровская","ж"
"112",112,"1955","7","Социальные группировки и социальная борьба в Венеции","Соколов","м"
"113",113,"1955","7","Княжество Кокнезе в борьбе с немецкими захватчиками в Восточной Прибалтике в начале XIII века ","Стародубец П.А.","?"
"114",114,"1955","7","Значение исследований Кареева","Фролова","ж"
"115",115,"1955","7","Крестьянские движения Англии","Хилтон","м"
"116",116,"1956","8","О некоторых факторах разложения светского вотчинного землевладения в Англии","Барг","м"
"117",117,"1956","8","Большая семья в Северо-Западной Норвегии в ранее средневековье","Гуревич","м"
"118",118,"1956","8","Обзор доклада Э. Ком, А. Маронжу, Г. Штекля","Гутнова","ж"
"119",119,"1956","8","Социальный облик представителей графств в английском Парламенте","Гутнова","ж"
"120",120,"1956","8","Немецкая деревня второй половины VIII-начала IX в","Данилов","м"
"121",121,"1956","8","История крестовых походов в Докладах X Международного конгресса","Заборов","м"
"122",122,"1956","8","Петр Рамус и его борьба со Схоластикой","Коган-Бернштейн","ж"
"123",123,"1956","8","К вопросу о дифференциации английского крестьянства","Лавровский","м"
"124",124,"1956","8","Ремесленные гильдии в Англии в ранний период их истории","Левицкий","м"
"125",125,"1956","8","Вопросы образования древнерусского государства","Литаврин","м"
"126",126,"1956","8","Борьба за власть в парижском муниципалитете после Дня баррикад","Лозинский","м"
"127",127,"1956","8","Уставы как источник по изучению положения крестьян Германии","Майер","м"
"128",128,"1956","8","К вопросу об эволюции форм семьи и земельного аллода у аллеманов в VI-IX вв","Неусыхин","м"
"129",129,"1956","8","Отклики французского общественного мнения на Английскую буржуазную революцию","Поршнев","м"
"130",130,"1956","8","Научная и общественная деятельность Е.А. Косминского","Редколлегия","—"
"131",131,"1956","8","Экономический строй Флоренции во второй половине XV и в XVI веке","Ролова","ж"
"132",132,"1956","8","Английская колонизация Ольстера при Якове II","Сапрыкин","м"
"133",133,"1956","8","Изменение системы земельных мер как результат перемен в аграрном строе","Серовайский","м"
"134",134,"1956","8","Современная медиевистика в обзорных докладах на X международном конгрессе","Сидорова","ж"
"135",135,"1956","8","X Международный конгресс историков в Риме","Сказкин","м"
"136",136,"1956","8","Вопросы историографии на X международном конгрессе историков","Смирин","м"
"137",137,"1956","8","Народная реформация Томаса Мюнцера и великая крестьянская война","Смирин","м"
"138",138,"1956","8","Заметки о трудах Е.А. Косминского по Новой истории","Татаринова","ж"
"139",139,"1956","8","Раздел земель между остготами и римлянами в Италии в конце V века","Удальцова","ж"
"140",140,"1956","8","Проблемы средневековой идеологии и экономики","Чистозвонов","м"
"141",141,"1957","10","Социально - экономическое положение зависимого крестьянства среднерейнской Германии","Бессмертный","м"
"142",142,"1957","10","Еретические секты Италии первой половины XIII в","Бортник","м"
"143",143,"1957","10","Некоторые данные о ремесленном производстве в Кафе","Гольдшмидт","ж"
"144",144,"1957","10","Промышленность северных городов Нидерландов в XVI в.","Громыко","ж"
"145",145,"1957","10","Сорок лет советской медиевистике и её очередные задачи","Гутнова","ж"
"146",146,"1957","10","Рецензии","Коллектив авторов","—"
"147",147,"1957","10","Некоторые данные о ремесленном производстве в Кафе","Конокотин","м"
"148",148,"1957","10","О развитии феодальных отношений в готской Испании V-VII вв.","Корсунский","м"
"149",149,"1957","10","Либеллярии Северной и Средней Италии в VIII-X вв.","Котельникова","ж"
"150",150,"1957","10","Развитие книготорговли во Франции в первой половине XVI в.","Молдавская","ж"
"151",151,"1957","10","Из экономической и социальной истории Аугсбурга","Эпштейн","м"
"152",152,"1957","9","Фригольд Центральной Англии в XII-XIII вв.","Барг","м"
"153",153,"1957","9","Английское крестьянство в X - начале XI в","Гуревич","м"
"154",154,"1957","9","Экономические и социальные предпосылки централизации английского феодального государства","Гутнова","ж"
"155",155,"1957","9","К критике допшианской концепции раннесредневековой вотчины","Данилов","м"
"156",156,"1957","9","Социально-экономическая характеристика шведской деревни","Кан А.С.","м"
"157",157,"1957","9","Эволюция раннефеодального областного и местного государственного устройства","Колесницкий","м"
"158",158,"1957","9","Борьба Гаррингтона и его группы за республику","Сапрыкин","м"
"159",159,"1957","9","О публикации докторских и кандидатских диссертаций по истории средних веков","Сидорова","ж"
"160",160,"1958","11","Вилланы ""старинного домена"" (Юридическая теория и реальная действительность)","Барг","м"
"161",161,"1958","11","Утопия всемирной монархии у Данте (К вопросу о социально - политических взглядах Данте)","Баткин","м"
"162",162,"1958","11","Из истории итальянского крестьянства XV-XVI вв. (По материалам архива Ленинградского отделения Института истории АН СССР)","Бернадская","ж"
"163",163,"1958","11","Господствующая форма феодальной ренты в крупных вотчинах Лотарингии XIII в. ","Бессмертный","м"
"164",164,"1958","11","Норвежская община в раннее средневековье ","Гуревич","м"
"165",165,"1958","11","Регистры ремёсел и торговли города Парижа (Окончание) ","Киселева, Люблинская","—"
"166",166,"1958","11","рецензии","Люблинская, Заборов","—"
"167",167,"1958","11","Заметка о книге Алексея Ставровского ""Рассуждение о значении средних веков в отношении к новейшему времени""","Рыськин","м"
"168",168,"1958","11","К вопросу о методологии истории Возрождения и гуманизма","Сказкин","м"
"169",169,"1958","12","Общинное землевладение в Северо - Восточной Италии XIII-XIV вв. ","Брагина","ж"
"170",170,"1958","12","Документы по истории Франции середины XVI в.","Воронова, Гурари, Люблинская","—"
"171",171,"1958","12","Политика королевской власти по отношению к городам и городскому сословию в Англии XIII - начала XIV в. ","Гутнова","ж"
"172",172,"1958","12","Рецензии","Коллектив авторов","—"
"173",173,"1958","12","Возникновение феодального землевладения и класса феодалов в Англии VII-X вв. ","Соколова","ж"
"174",174,"1958","12","Сеньория Стэн в XV-XVII вв. (К вопросу об аграрных отношениях в Северной Франции XV-XVII вв.)","Червонная","ж"
"175",175,"1958","12","Формы феодального землевладения в Шампани IX-X вв. ","Шевеленко","м"
"176",176,"1958","13","Из истории английского землевладения накануне буржуазной революции XVII в","Авдеева","ж"
"177",177,"1958","13","К вопросу о генезисе английского фригольда XIII в. (По материалам Средней Англии) ","Барг","м"
"178",178,"1958","13","Великая Крестьянская война в Германии в освещении М.Н. Петрова ","Вебер","м"
"179",179,"1958","13","Документы по истории Франции середины XVI в. (продолжение)","Воронова, Гурари, Люблинская","—"
"180",180,"1958","13","Из социальной истории городов Англии XIII в. ","Кириллова","ж"
"181",181,"1958","13","Рецензии","Коллектив авторов","—"
"182",182,"1958","13","Основные проблемы истории свободного и зависимого крестьянства","Неусыхин","м"
"183",183,"1958","13","Изучение средневековой Испании в советской историографии","Пичугина","ж"
"184",184,"1958","13","Архангельский. Некролог","Редколлегия","—"
"185",185,"1958","13","Удальцов. Некролог","Редколлегия","—"
"186",186,"1959","14","Из истории сельских коммун Моденской провинции","Бернадская","ж"
"187",187,"1959","14","Византийская политика папства и начало крестовых походов","Заборов","м"
"188",188,"1959","14","Рецензии","Коллектив авторов","—"
"189",189,"1959","14","Положение и условия труда рабочих - печатников Лиона и Парижа в первой половине XVI в. ","Молдавская","ж"
"190",190,"1959","14","Изменения аграрного строя на территории Бургундии в V в. ","Серовайский","м"
"191",191,"1959","14","Развитие цехового ремесла и торговли в городах Северо - Восточной Франции в XII-XIII вв.","Тимофеева","ж"
"192",192,"1959","14","Социально - политические взгляды Фабио Альбергати - итальянского утописта конца XVI - начала XVII в. ","Чиколини","ж"
"193",193,"1959","15","Рецензии","Коллектив авторов","—"
"194",194,"1959","15","О развитии феодальных отношений в готской Испании (Формирование крупного землевладения) ","Корсунский","м"
"195",195,"1959","15","Кризис сукноделия в Англии накануне буржуазной революции XVII в. ","Мещерякова","ж"
"196",196,"1959","15","Косминский. Некролог","Редколлегия","—"
"197",197,"1959","15","Прекарий на землях Сен - Галленского аббатства в VIII-IX вв.","Романова","ж"
"198",198,"1959","15","Венецианские цехи в XIII и XIV вв.","Соколов","м"
"199",199,"1959","16","Гвельфы и гибеллины во Флоренции (Основные этапы и характер социальной борьбы в XII - середине XIII","Баткин","м"
"200",200,"1959","16","К вопросу о развитии внутренней торговли и экономических связей во Франции во второй половине XV в.","Горбачёва","ж"
"201",201,"1959","16","Основные этапы социально - экономической истории норвежского крестьянства в XIII - XVII вв.","Гуревич","м"
"202",202,"1959","16","Рецензии","Коллектив авторов","—"
"203",203,"1959","16","Политика городов по отношению к сельским коммунам Северной и Средней Италии в XII в.","Котельникова","ж"
"204",204,"1959","16","Научная командировка в Париж","Сидорова","ж"
"205",205,"1959","16","К вопросу о характере классовой борьбы в городах Фландрии в XVI в.","Чистозвонов","м"
"206",206,"1960","17","Из неизданной переписки русских медиевистов 40 - 50-х годов XIX в.","Асиновская","ж"
"207",207,"1960","17","Хроника Дино Компаньи или притча Данте Алигьери?","Баткин","м"
"208",208,"1960","17","О некоторых изменениях в социально-экономическом положении лотарингского крестьянства","Бессмертный","м"
"209",209,"1960","17","Профессор Н.А. Осокин - первый казанский медиевист","Бушмакин","м"
"210",210,"1960","17","Русско - нидерландская торговля на Мурманском берегу в XVI в. ","Громыко","ж"
"211",211,"1960","17","Т. Роджерс и возникновение историко - экономического направления в английской медиевистике второй половины XIX","Гутнова","ж"
"212",212,"1960","17","Аграрная история западноевропейского средневековья в трудах советских медиевистов","Данилов","м"
"213",213,"1960","17","Работа сектора истории средних веков Института истории АН СССР в 1959 г.","Жаботинская","ж"
"214",214,"1960","17","Об одной южноитальянской грамоте XI в.","Каждан","м"
"215",215,"1960","17","""Восемь стансов об осени"" Ду Фу ","Конрад","м"
"216",216,"1960","17","О некоторых характерных чертах английского феодализма","Косминский","м"
"217",217,"1960","17","О формах общинной организации североитальянского крестьянства в IX-XII вв.","Котельникова","ж"
"218",218,"1960","17","Крупное поместье в Англии в XVI по XVIII в. ","Лавровский","м"
"219",219,"1960","17","Развитие рабовладельческой формации и возникновение элементов феодализма в Западной Римской империи","Мейман","м"
"220",220,"1960","17","Новые данные по источниковедению Салической правды ","Неусыхин","м"
"221",221,"1960","17","Научная и педагогическая деятельность С.Д. Сказкина ","Редколлегия","—"
"222",222,"1960","17","Землевладение в пуританских колониях Новой Англии в XVII в. ","Самойло","м"
"223",223,"1960","17","Поземельная собственность в графстве Лимерик в середине XVII в.","Сапрыкин","м"
"224",224,"1960","17","Некоторые вопросы истории Франции и советская медиевистика ","Сидорова","ж"
"225",225,"1960","17","Четвёртый том ""Всемирной истории""","Смирин","м"
"226",226,"1960","17","Социальная утопия Антонио Франческо Дони","Чиколини","ж"
"227",227,"1960","17","Аграрные отношения в Южной Голландии, Амстерланте и Хоойланте по материалам описей 1494-1514 гг. ","Чистозвонов","м"
"228",228,"1960","18","Реакционные течения в современной американской медиевистике","Вайнштейн","м"
"229",229,"1960","18","Основные проблемы истории средневековой Норвегии в норвежской историографии","Гуревич","м"
"230",230,"1960","18","Значение трудов В.И. Ленина для разработки проблем историографии средних веков","Гутнова","ж"
"231",231,"1960","18","Некоторые проблемы социальной истории средневековой Англии в современной англо-американской медиевистике ","Гутнова","ж"
"232",232,"1960","18","К вопросу о критике буржуазной историографии в произведениях В.И. Ленина ","Данилов","м"
"233",233,"1960","18","Современная немецкая буржуазная историография о феодальном государстве в Германии ","Колесницкий","м"
"234",234,"1960","18","О новой теории социальной структуры раннего средневековья в буржуазной медиевистике ФРГ ","Неусыхин, Данилов","—"
"235",235,"1960","18","Советская медиевистика и ее задачи в области историографии","Редколлегия","—"
"236",236,"1960","18","Ценные факты и нелепые выводы (о некоторых новых американских работах по истории колониального периода США) ","Самойло","м"
"237",237,"1960","18","В.И. Ленин о феодализме и генезисе капиталистических отношений в земледелии","Сапрыкин","м"
"238",238,"1960","18","В.И. Ленин и некоторые проблемы медиевистики ","Сказкин","м"
"239",239,"1961","19","Заметки о книгах","А.Ш.","—"
"240",240,"1961","19","Французские Генеральные штаты 16141615 гг и их значение","Альзон","м"
"241",241,"1961","19","Эволюция вотчинной структуры в Средней Англии между 1086 и 1279 гг","Барг","м"
"242",242,"1961","19","Социальный облик средневекового Рима По данным переписи римского населения ","Бортник","м"
"243",243,"1961","19","Ульрих фон Гуттен НК Диалоги Публицистика Письма Изд-во АН СССР М 1959","В.Е.","—"
"244",244,"1961","19","Гурари Люблинская Документы по истории Франции середины XVI в окончание","Воронова","ж"
"245",245,"1961","19","Фридрих Энгельс  исследователь истории древних ирландцев","Гольман","м"
"246",246,"1961","19","Крестовые походы в освещении западногерманского историка","Заборов","м"
"247",247,"1961","19","О развитии феодальных отношении в готской Испании Зарождение бенефициальной","Корсунский","м"
"248",248,"1961","19","Мемориал испанского экономиста Луиса Ортиса и зарождение идей протекционизм","Литаврина","ж"
"249",249,"1961","19","Источники по истории Нидерландов Фландрии и Голландии в Ленинградском отдел","Люблинская","ж"
"250",250,"1961","19","A Guron La réglamentation des métiers en Languedoc au Moyen âge GenèveParis","Ревякина","ж"
"251",251,"1961","19","Некоторые вопросы организации производства рукописной книги во Франции XIII","Романова","ж"
"252",252,"1961","19","Налоговые описи Колчестера как источник по истории английского средневеково","Сванидзе","ж"
"253",253,"1961","19","По страницам зарубежных журналов Обзор статей по истории средневековья","Соколова","ж"
"254",254,"1961","19","ЕWerner Die gesellschaftlichen Grundlagen der Kloster-reform im 11 Jh Berli","Чайковская","ж"
"255",255,"1961","19","Аграрные отношения в Северной Голландии по материалам описей 1494 и 1514 гг","Чистозвонов","м"
"256",256,"1961","19","Некоторые черты экономического развития словенских земель в XVI в","Чуркина","ж"
"257",257,"1961","19","Неопубликованное письмо Фридриха Энгельса к Женни Лонге","Энгельс","м"
"258",258,"1961","20","Флорентийские гранды и поправки 6 июля 1295 г. к «Установлениям правосудия»","Баткин","м"
"259",259,"1961","20","«Революция цен» и ее влияние на Венгрию во второй половине XVI в. ","Виттман","м"
"260",260,"1961","20","Свободное крестьянство и феодальное государство в Норвегии в X—XII вв. ","Гуревич","м"
"261",261,"1961","20","О значении слова «парламент» (parliamentum) в Англии XIII и начала XIV в.","Гутнова","ж"
"262",262,"1961","20","Из истории политической борьбы во Франции в начале XIV в (Трактаты легиста Дюбуа об уничтожении Ордена тамплиеров)","Денисова","ж"
"263",263,"1961","20","К вопросу о германском министериалитете X—XII вв. ","Колесницкий","м"
"264",264,"1961","20","Рецензии","Коллектив авторов","—"
"265",265,"1961","20","Об одном раннем произведении утопического коммунизма в Германии ","Майер","м"
"266",266,"1961","20","Мемуар Исаака Разилли о французской колониальной экспансии (1626 г.). Предисловие Р. Мандру (Париж). ","Мандру","м"
"267",267,"1961","20","Вопрос о переходе от феодализма к капитализму в Центральной Европе (XVI — XVIII вв.)","Мацурек, Клима","—"
"268",268,"1961","20","К 70-летию академика Н.И. Конрада","Редколлегия","—"
"269",269,"1961","20","Социальные отношения в горной промышленности Фрейбергского района Саксонии в 40—80-х годах XV в. ","Смирин","м"
"270",270,"1961","20","Из истории ганзейской торговли (Ввоз в Новгород благородных металлов в XIV—XV вв.) ","Хорошкевич","ж"
"271",271,"1962","21","Юридическая теория XIII в. о происхождении и характере общинных прав в Англии","Авдеева","ж"
"272",272,"1962","21","Мызно-барщинное хозяйство в южной (латышской) части Лифляндии в XVI в. ","Дорошенко","м"
"273",273,"1962","21","Работа сектора истории средних веков в 1960-1961 гг.","Жаботинская","ж"
"274",274,"1962","21","Материалы по истории земельных отношений в Кастилии XII-XIII вв. Перевод с арабского","Карасс М.Б.","ж"
"275",275,"1962","21","К истории народного движения и Мюльхаузене (Тюрингия) в 1523—1575 гг. ","Кёдиц","ж"
"276",276,"1962","21","Рецензии","Коллектив авторов","—"
"277",277,"1962","21","Некоторые вопросы экономической политики королевской власти в Англии 1461—1485 гг.","Кузнецов","м"
"278",278,"1962","21","Крестьянский сейм в Иннсбруке (12 июня—21 июля 1525 г.","Мацек","м"
"279",279,"1962","21","Стачечное движение лионских и парижских типографских рабочих в 1530—1540 гг.  ","Молдавская","ж"
"280",280,"1962","21","Новые данные по источниковедению Салической правды. Очерк. 2. Опыт истолкования некоторых спорных текстов","Неусыхин","м"
"281",281,"1962","21","О положении крестьянства Леона и Кастилии XII—XIII вв. (по данным фуэрос) ","Пичугина","ж"
"282",282,"1962","21","Крестьяне-слуги в Великом княжестве Литовском в XVII—XVIII вв. ","Похилевич","м"
"283",283,"1962","21","Ирландская средневековая иллюминированная рукопись в собрании Ленинградской государственной публичной библиотеки","Привалова","ж"
"284",284,"1962","21","К истории свободного ремесла в городах Южной Франции XIII—XV вв. ","Ревуненкова","ж"
"285",285,"1962","21","Сидорова Некролог","Редколлегия","—"
"286",286,"1962","21","О задачах советских медиевистов в свете решений XXII съезда КПСС","Сидорова","ж"
"287",287,"1962","21","Ф.Энгельс о значении Крестьянской войны 1524—1525 гг. в истории Германии ","Смирин","м"
"288",288,"1962","22","R Lennard Rural England 1086-1135 A Study of Social and Agrarian Conditions","Барг","м"
